  phase   passband   delta    dm15       mag  
   20.0       desr   -0.38   +0.84   -18.901  
   21.0       desr   -0.38   +0.84   -18.886  
   22.0       desr   -0.38   +0.84   -18.868  
   23.0       desr   -0.38   +0.84   -18.854  
   24.0       desr   -0.38   +0.84   -18.844  
   25.0       desr   -0.38   +0.84   -18.835  
   26.0       desr   -0.38   +0.84   -18.824  
   27.0       desr   -0.38   +0.84   -18.809  
   28.0       desr   -0.38   +0.84   -18.789  
   29.0       desr   -0.38   +0.84   -18.762  
   30.0       desr   -0.38   +0.84   -18.728  
   31.0       desr   -0.38   +0.84   -18.686  
   32.0       desr   -0.38   +0.84   -18.636  
   33.0       desr   -0.38   +0.84   -18.582  
   34.0       desr   -0.38   +0.84   -18.522  
   35.0       desr   -0.38   +0.84   -18.461  
   36.0       desr   -0.38   +0.84   -18.398  
   37.0       desr   -0.38   +0.84   -18.336  
   38.0       desr   -0.38   +0.84   -18.274  
   39.0       desr   -0.38   +0.84   -18.217  
   40.0       desr   -0.38   +0.84   -18.165  
   41.0       desr   -0.38   +0.84   -18.117  
   42.0       desr   -0.38   +0.84   -18.073  
   43.0       desr   -0.38   +0.84   -18.032  
   44.0       desr   -0.38   +0.84   -17.991  
   45.0       desr   -0.38   +0.84   -17.952  
   46.0       desr   -0.38   +0.84   -17.916  
   47.0       desr   -0.38   +0.84   -17.878  
   48.0       desr   -0.38   +0.84   -17.842  
   49.0       desr   -0.38   +0.84   -17.804  
   50.0       desr   -0.38   +0.84   -17.767  
   51.0       desr   -0.38   +0.84   -17.731  
   52.0       desr   -0.38   +0.84   -17.697  
   53.0       desr   -0.38   +0.84   -17.664  
   54.0       desr   -0.38   +0.84   -17.635  
   55.0       desr   -0.38   +0.84   -17.606  
   56.0       desr   -0.38   +0.84   -17.578  
   57.0       desr   -0.38   +0.84   -17.551  
   58.0       desr   -0.38   +0.84   -17.525  
   59.0       desr   -0.38   +0.84   -17.497  
   60.0       desr   -0.38   +0.84   -17.467  
   61.0       desr   -0.38   +0.84   -17.437  
   62.0       desr   -0.38   +0.84   -17.407  
   63.0       desr   -0.38   +0.84   -17.377  
   64.0       desr   -0.38   +0.84   -17.347  
   65.0       desr   -0.38   +0.84   -17.318  
   66.0       desr   -0.38   +0.84   -17.290  
   67.0       desr   -0.38   +0.84   -17.263  
   68.0       desr   -0.38   +0.84   -17.236  
   69.0       desr   -0.38   +0.84   -17.208  
   70.0       desr   -0.38   +0.84   -17.180  
   71.0       desr   -0.38   +0.84   -17.150  
   72.0       desr   -0.38   +0.84   -17.120  
   73.0       desr   -0.38   +0.84   -17.088  
   74.0       desr   -0.38   +0.84   -17.058  
   75.0       desr   -0.38   +0.84   -17.027  
   76.0       desr   -0.38   +0.84   -16.997  
   77.0       desr   -0.38   +0.84   -16.968  
   78.0       desr   -0.38   +0.84   -16.939  
   79.0       desr   -0.38   +0.84   -16.908  
   80.0       desr   -0.38   +0.84   -16.876  
  -15.0       desr   -0.36   +0.85   -16.730  
  -14.0       desr   -0.36   +0.85   -17.066  
  -13.0       desr   -0.36   +0.85   -17.397  
  -12.0       desr   -0.36   +0.85   -17.721  
  -11.0       desr   -0.36   +0.85   -18.024  
  -10.0       desr   -0.36   +0.85   -18.327  
   -9.0       desr   -0.36   +0.85   -18.645  
   -8.0       desr   -0.36   +0.85   -18.938  
   -7.0       desr   -0.36   +0.85   -19.147  
   -6.0       desr   -0.36   +0.85   -19.275  
   -5.0       desr   -0.36   +0.85   -19.353  
   -4.0       desr   -0.36   +0.85   -19.411  
   -3.0       desr   -0.36   +0.85   -19.455  
   -2.0       desr   -0.36   +0.85   -19.486  
   -1.0       desr   -0.36   +0.85   -19.505  
    0.0       desr   -0.36   +0.85   -19.515  
    1.0       desr   -0.36   +0.85   -19.518  
    2.0       desr   -0.36   +0.85   -19.511  
    3.0       desr   -0.36   +0.85   -19.494  
    4.0       desr   -0.36   +0.85   -19.479  
    5.0       desr   -0.36   +0.85   -19.463  
    6.0       desr   -0.36   +0.85   -19.442  
