  phase   passband   delta    dm15       mag  
   20.0       desr   -0.38   +0.84   -18.844  
   21.0       desr   -0.38   +0.84   -18.883  
   22.0       desr   -0.38   +0.84   -18.927  
   23.0       desr   -0.38   +0.84   -18.967  
   24.0       desr   -0.38   +0.84   -19.010  
   25.0       desr   -0.38   +0.84   -19.036  
   26.0       desr   -0.38   +0.84   -19.051  
   27.0       desr   -0.38   +0.84   -19.040  
   28.0       desr   -0.38   +0.84   -19.007  
   29.0       desr   -0.38   +0.84   -18.956  
   30.0       desr   -0.38   +0.84   -18.893  
   31.0       desr   -0.38   +0.84   -18.815  
   32.0       desr   -0.38   +0.84   -18.716  
   33.0       desr   -0.38   +0.84   -18.610  
   34.0       desr   -0.38   +0.84   -18.509  
   35.0       desr   -0.38   +0.84   -18.424  
   36.0       desr   -0.38   +0.84   -18.370  
   37.0       desr   -0.38   +0.84   -18.345  
   38.0       desr   -0.38   +0.84   -18.342  
   39.0       desr   -0.38   +0.84   -18.338  
   40.0       desr   -0.38   +0.84   -18.320  
   41.0       desr   -0.38   +0.84   -18.294  
   42.0       desr   -0.38   +0.84   -18.259  
   43.0       desr   -0.38   +0.84   -18.216  
   44.0       desr   -0.38   +0.84   -18.158  
   45.0       desr   -0.38   +0.84   -18.081  
   46.0       desr   -0.38   +0.84   -17.973  
   47.0       desr   -0.38   +0.84   -17.852  
   48.0       desr   -0.38   +0.84   -17.722  
   49.0       desr   -0.38   +0.84   -17.605  
   50.0       desr   -0.38   +0.84   -17.501  
   51.0       desr   -0.38   +0.84   -17.394  
   52.0       desr   -0.38   +0.84   -17.269  
   53.0       desr   -0.38   +0.84   -17.147  
   54.0       desr   -0.38   +0.84   -17.096  
   55.0       desr   -0.38   +0.84   -17.068  
   56.0       desr   -0.38   +0.84   -17.051  
   57.0       desr   -0.38   +0.84   -17.038  
   58.0       desr   -0.38   +0.84   -17.021  
   59.0       desr   -0.38   +0.84   -17.031  
   60.0       desr   -0.38   +0.84   -17.046  
   61.0       desr   -0.38   +0.84   -17.062  
   62.0       desr   -0.38   +0.84   -17.046  
   63.0       desr   -0.38   +0.84   -17.028  
   64.0       desr   -0.38   +0.84   -17.003  
   65.0       desr   -0.38   +0.84   -16.975  
   66.0       desr   -0.38   +0.84   -16.938  
   67.0       desr   -0.38   +0.84   -16.889  
   68.0       desr   -0.38   +0.84   -16.830  
   69.0       desr   -0.38   +0.84   -16.776  
   70.0       desr   -0.38   +0.84   -16.722  
   71.0       desr   -0.38   +0.84   -16.667  
   72.0       desr   -0.38   +0.84   -16.615  
   73.0       desr   -0.38   +0.84   -16.561  
   74.0       desr   -0.38   +0.84   -16.513  
   75.0       desr   -0.38   +0.84   -16.469  
   76.0       desr   -0.38   +0.84   -16.425  
   77.0       desr   -0.38   +0.84   -16.380  
   78.0       desr   -0.38   +0.84   -16.337  
   79.0       desr   -0.38   +0.84   -16.290  
   80.0       desr   -0.38   +0.84   -16.255  
  -15.0       desr   -0.36   +0.85   -16.502  
  -14.0       desr   -0.36   +0.85   -16.704  
  -13.0       desr   -0.36   +0.85   -16.983  
  -12.0       desr   -0.36   +0.85   -17.292  
  -11.0       desr   -0.36   +0.85   -17.614  
  -10.0       desr   -0.36   +0.85   -17.856  
   -9.0       desr   -0.36   +0.85   -18.055  
   -8.0       desr   -0.36   +0.85   -18.265  
   -7.0       desr   -0.36   +0.85   -18.493  
   -6.0       desr   -0.36   +0.85   -18.717  
   -5.0       desr   -0.36   +0.85   -18.899  
   -4.0       desr   -0.36   +0.85   -19.002  
   -3.0       desr   -0.36   +0.85   -19.019  
   -2.0       desr   -0.36   +0.85   -18.992  
   -1.0       desr   -0.36   +0.85   -18.936  
    0.0       desr   -0.36   +0.85   -18.909  
    1.0       desr   -0.36   +0.85   -18.931  
    2.0       desr   -0.36   +0.85   -18.903  
    3.0       desr   -0.36   +0.85   -18.841  
    4.0       desr   -0.36   +0.85   -18.813  
    5.0       desr   -0.36   +0.85   -18.815  
    6.0       desr   -0.36   +0.85   -18.831  
    7.0       desr   -0.36   +0.85   -18.837  
    8.0       desr   -0.36   +0.85   -18.802  
    9.0       desr   -0.36   +0.85   -18.720  
   10.0       desr   -0.36   +0.85   -18.649  
   11.0       desr   -0.36   +0.85   -18.591  
   12.0       desr   -0.36   +0.85   -18.543  
   13.0       desr   -0.36   +0.85   -18.543  
   14.0       desr   -0.36   +0.85   -18.584  
   15.0       desr   -0.36   +0.85   -18.611  
   16.0       desr   -0.36   +0.85   -18.624  
   17.0       desr   -0.36   +0.85   -18.672  
   18.0       desr   -0.36   +0.85   -18.736  
   19.0       desr   -0.36   +0.85   -18.784  
   20.0       desr   -0.36   +0.85   -18.820  
   21.0       desr   -0.36   +0.85   -18.858  
   22.0       desr   -0.36   +0.85   -18.902  
   23.0       desr   -0.36   +0.85   -18.941  
   24.0       desr   -0.36   +0.85   -18.984  
   25.0       desr   -0.36   +0.85   -19.011  
   26.0       desr   -0.36   +0.85   -19.026  
   27.0       desr   -0.36   +0.85   -19.019  
   28.0       desr   -0.36   +0.85   -18.988  
   29.0       desr   -0.36   +0.85   -18.939  
   30.0       desr   -0.36   +0.85   -18.879  
   31.0       desr   -0.36   +0.85   -18.804  
   32.0       desr   -0.36   +0.85   -18.707  
   33.0       desr   -0.36   +0.85   -18.605  
   34.0       desr   -0.36   +0.85   -18.503  
   35.0       desr   -0.36   +0.85   -18.417  
   36.0       desr   -0.36   +0.85   -18.362  
   37.0       desr   -0.36   +0.85   -18.334  
   38.0       desr   -0.36   +0.85   -18.326  
   39.0       desr   -0.36   +0.85   -18.318  
   40.0       desr   -0.36   +0.85   -18.295  
   41.0       desr   -0.36   +0.85   -18.265  
   42.0       desr   -0.36   +0.85   -18.227  
   43.0       desr   -0.36   +0.85   -18.181  
   44.0       desr   -0.36   +0.85   -18.122  
   45.0       desr   -0.36   +0.85   -18.045  
   46.0       desr   -0.36   +0.85   -17.936  
   47.0       desr   -0.36   +0.85   -17.816  
   48.0       desr   -0.36   +0.85   -17.687  
   49.0       desr   -0.36   +0.85   -17.571  
   50.0       desr   -0.36   +0.85   -17.467  
   51.0       desr   -0.36   +0.85   -17.362  
   52.0       desr   -0.36   +0.85   -17.237  
   53.0       desr   -0.36   +0.85   -17.115  
   54.0       desr   -0.36   +0.85   -17.064  
   55.0       desr   -0.36   +0.85   -17.036  
   56.0       desr   -0.36   +0.85   -17.017  
   57.0       desr   -0.36   +0.85   -17.004  
   58.0       desr   -0.36   +0.85   -16.986  
   59.0       desr   -0.36   +0.85   -16.996  
   60.0       desr   -0.36   +0.85   -17.010  
   61.0       desr   -0.36   +0.85   -17.027  
   62.0       desr   -0.36   +0.85   -17.012  
   63.0       desr   -0.36   +0.85   -16.995  
   64.0       desr   -0.36   +0.85   -16.972  
   65.0       desr   -0.36   +0.85   -16.946  
   66.0       desr   -0.36   +0.85   -16.910  
