event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2016gkg,57653.129,15.540,0.030,F,V,,LCOGT,2016arXiv161106451A
SN2016gkg,57653.130,15.610,0.030,F,g,,LCOGT,2016arXiv161106451A
SN2016gkg,57653.132,15.650,0.040,F,i,,LCOGT,2016arXiv161106451A
SN2016gkg,57653.133,15.590,0.040,F,r,,LCOGT,2016arXiv161106451A
SN2016gkg,57653.141,15.022,0.084,F,UVM2,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57653.142,14.910,0.093,F,UVW1,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57653.150,14.954,0.104,F,UVW2,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57653.189,15.046,0.063,F,UVM2,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57653.191,14.819,0.064,F,UVW1,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57653.215,15.183,0.180,F,UVM2,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57653.2319,15.259,0.059,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,57653.2327,14.914,0.058,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,57653.256,15.245,0.065,F,UVM2,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57653.258,14.940,0.066,F,UVW1,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57653.288,15.730,0.050,F,V,,LCOGT,2016arXiv161106451A
SN2016gkg,57653.3164,15.73,0.14,F,B,,KAIT,2018Natur.554..497B
SN2016gkg,57653.3164,15.32,0.10,F,I,,KAIT,2018Natur.554..497B
SN2016gkg,57653.3164,15.57,0.06,F,R,,KAIT,2018Natur.554..497B
SN2016gkg,57653.3164,15.60,0.08,F,V,,KAIT,2018Natur.554..497B
SN2016gkg,57653.321,15.611,0.012,F,V,,LCOGT,2016arXiv161106451A
SN2016gkg,57653.322,15.459,0.068,F,UVM2,UVOT,Swift,2016arXiv161106451A
SN2016gkg,57653.322,15.585,0.014,F,V,,LCOGT,2016arXiv161106451A
SN2016gkg,57653.324,15.104,0.069,F,UVW1,UVOT,Swift,2016arXiv161106451A
