instrument,mu,e_absmagnitude,e_zp,z,flux,e_flux,upperlimit,e_magnitude,magnitude,name,time,zp,band,absmagnitude
-kepler,37.65880949200498,0.12515106557079583,0.11272507333240145,0.07944,-61.5591553272319,208.19689693510614,False,0.12515106557079583,23.02682034568486,SN2017jgh,58097.702775,27.500051975955447,kepler,-14.631989146320116
-kepler,37.65880949200498,0.1250546044345541,0.11272507333240145,0.07944,19.110916026811264,208.10395129414715,False,0.1250546044345541,24.296848215425527,SN2017jgh,58097.723208,27.500051975955447,kepler,-13.36196127657945
-kepler,37.65880949200498,0.12505001302322397,0.11272507333240145,0.07944,5.57777167195929,207.93592297986294,False,0.12505001302322397,25.633900145211356,SN2017jgh,58097.743642,27.500051975955447,kepler,-12.02490934679362
-kepler,37.65880949200498,0.12508788298852222,0.11272507333240145,0.07944,-44.7956224276078,207.79723213421403,False,0.12508788298852222,23.371963037410456,SN2017jgh,58097.764076,27.500051975955447,kepler,-14.28684645459452
-kepler,37.65880949200498,0.12499392016735014,0.11272507333240145,0.07944,47.02334186204253,207.82656232669137,False,0.12499392016735014,23.319268249972815,SN2017jgh,58097.784509,27.500051975955447,kepler,-14.339541242032162
-kepler,37.65880949200498,0.12492388187352656,0.11272507333240145,0.07944,104.3388163436343,207.7380769705224,False,0.12492388187352656,22.453937211892587,SN2017jgh,58097.804943,27.500051975955447,kepler,-15.20487228011239
-kepler,37.65880949200498,0.12505960168525823,0.11272507333240145,0.07944,-43.408539343328634,207.56012397686854,False,0.12505960168525823,23.406114044748012,SN2017jgh,58097.825376,27.500051975955447,kepler,-14.252695447256965
-kepler,37.65880949200498,0.1250631974637016,0.11272507333240145,0.07944,-74.05015013900345,207.30362485873118,False,0.1250631974637016,22.826237117444023,SN2017jgh,58097.866244,27.500051975955447,kepler,-14.832572374560954
-kepler,37.65880949200498,0.12492641061388164,0.11272507333240145,0.07944,51.30263222441842,207.26458827162105,False,0.12492641061388164,23.224702855025228,SN2017jgh,58097.886677,27.500051975955447,kepler,-14.434106636979749
-kepler,37.65880949200498,0.12503344886518356,0.11272507333240145,0.07944,-67.84590854838606,207.09891015633715,False,0.12503344886518356,22.92124281937742,SN2017jgh,58097.907111,27.500051975955447,kepler,-14.737566672627558
-kepler,37.65880949200498,0.12502850382826822,0.11272507333240145,0.07944,-69.31103570225378,207.04138485201418,False,0.12502850382826822,22.89804600475513,SN2017jgh,58097.927544,27.500051975955447,kepler,-14.760763487249847
-kepler,37.65880949200498,0.12502249756882255,0.11272507333240145,0.07944,-73.12245455962542,206.952426545582,False,0.12502249756882255,22.839925072756152,SN2017jgh,58097.947978,27.500051975955447,kepler,-14.818884419248825
-kepler,37.65880949200498,0.12491152466383358,0.11272507333240145,0.07944,31.749791471654486,206.94883939973946,False,0.12491152466383358,23.745699782829014,SN2017jgh,58097.968412,27.500051975955447,kepler,-13.913109709175963
-kepler,37.65880949200498,0.1250416026584188,0.11272507333240145,0.07944,-122.21776242018959,206.65991044586116,False,0.1250416026584188,22.282216155121674,SN2017jgh,58098.009279,27.500051975955447,kepler,-15.376593336883303
-kepler,37.65880949200498,0.12496747422554592,0.11272507333240145,0.07944,-60.92446335015097,206.57932699716687,False,0.12496747422554592,23.03807269491832,SN2017jgh,58098.029712,27.500051975955447,kepler,-14.620736797086657
-kepler,37.65880949200498,0.12485012463019116,0.11272507333240145,0.07944,54.712843735424514,206.61426710738178,False,0.12485012463019116,23.154828755702127,SN2017jgh,58098.050146,27.500051975955447,kepler,-14.50398073630285
-kepler,37.65880949200498,0.12466600656451207,0.11272507333240145,0.07944,190.2662828613342,206.2138237575948,False,0.12466600656451207,21.801647391792116,SN2017jgh,58098.07058,27.500051975955447,kepler,-15.85716210021286
-kepler,37.65880949200498,0.1249125218496482,0.11272507333240145,0.07944,-76.40301221308793,205.94663596350875,False,0.1249125218496482,22.792275773174858,SN2017jgh,58098.111447,27.500051975955447,kepler,-14.86653371883012
-kepler,37.65880949200498,0.12468663863387242,0.11272507333240145,0.07944,167.32228685509523,206.1884663473285,False,0.12468663863387242,21.94116749692553,SN2017jgh,58098.13188,27.500051975955447,kepler,-15.717641995079447
-kepler,37.65880949200498,0.12471633020598193,0.11272507333240145,0.07944,129.53767185326137,206.1068787888446,False,0.12471633020598193,22.21906175763671,SN2017jgh,58098.152314,27.500051975955447,kepler,-15.439747734368268
-kepler,37.65880949200498,0.12555614401277831,0.11272507333240145,0.07944,-693.2882954638642,205.67519161705374,False,0.12555614401277831,20.397767305394478,SN2017jgh,58098.193181,27.500051975955447,kepler,-17.2610421866105
-kepler,37.65880949200498,0.12466724307959193,0.11272507333240145,0.07944,150.60628181884462,205.85820154044507,False,0.12466724307959193,22.055444259068018,SN2017jgh,58098.213615,27.500051975955447,kepler,-15.603365232936959
-kepler,37.65880949200498,0.12475817899132348,0.11272507333240145,0.07944,17.683268362262872,205.44567976855132,False,0.12475817899132348,24.381145631315185,SN2017jgh,58098.234048,27.500051975955447,kepler,-13.277663860689792
-kepler,37.65880949200498,0.12472945396277975,0.11272507333240145,0.07944,28.493914545774572,205.28817277858425,False,0.12472945396277975,23.863171682194572,SN2017jgh,58098.254482,27.500051975955447,kepler,-13.795637809810405
-kepler,37.65880949200498,0.12475516959337891,0.11272507333240145,0.07944,1.5145686467670674,205.2685562568976,False,0.12475516959337891,27.049329570430256,SN2017jgh,58098.274916,27.500051975955447,kepler,-10.60947992157472
