    wave           transmission  
  3600.0                    0.0  
  3700.0    0.03399104626098491  
  3800.0     0.1478312345280379  
  3900.0     0.6094856064181217  
  4000.0     0.9642126789366053  
  4100.0                    1.0  
  4200.0     0.9981497711559061  
  4300.0     0.9534883720930232  
  4400.0     0.8908486707566462  
  4500.0     0.7946603044762555  
  4600.0     0.6744020627722949  
  4700.0     0.5708567201844842  
  4800.0       0.46813224267212  
  4900.0    0.36275614540294643  
  5000.0     0.2724948875255624  
  5100.0     0.1931713380648783  
  5200.0    0.12092968381311939  
  5300.0    0.07514372805494464  
  5400.0    0.03338256456865864  
  5500.0   0.006860011154489682  
  5600.0                    0.0  
